#  L TT            EE            BB            TE            PP            PT            PE           
 163 4.8103809e+03 1.0121945e+00 9.0582328e-03 -4.4766877e+01 7.0127799e-08 1.9696086e-04 -9.1686458e-07
 164 4.8399782e+03 1.0026640e+00 9.1808461e-03 -4.4464947e+01 6.9739635e-08 1.9528258e-04 -9.0161158e-07
 165 4.8692528e+03 9.9288595e-01 9.3045023e-03 -4.4135780e+01 6.9354676e-08 1.9362186e-04 -8.8638380e-07
 166 4.8981893e+03 9.8288279e-01 9.4292010e-03 -4.3779301e+01 6.8972884e-08 1.9197865e-04 -8.7119127e-07
 167 4.9267798e+03 9.7267689e-01 9.5549411e-03 -4.3395358e+01 6.8594294e-08 1.9035307e-04 -8.5604470e-07
 168 4.9550165e+03 9.6229063e-01 9.6817211e-03 -4.2984023e+01 6.8218789e-08 1.8874492e-04 -8.4095351e-07
 169 4.9828913e+03 9.5174638e-01 9.8095393e-03 -4.2545147e+01 6.7846427e-08 1.8715437e-04 -8.2592870e-07
 170 5.0103964e+03 9.4105909e-01 9.9383933e-03 -4.2078653e+01 6.7477139e-08 1.8558129e-04 -8.1097991e-07
 171 5.0375165e+03 9.3025856e-01 1.0068280e-02 -4.1584464e+01 6.7110921e-08 1.8402571e-04 -7.9611752e-07
 172 5.0642586e+03 9.1936716e-01 1.0199197e-02 -4.1062580e+01 6.6747759e-08 1.8248766e-04 -7.8135196e-07
 173 5.0905998e+03 9.0840723e-01 1.0331140e-02 -4.0512924e+01 6.6387608e-08 1.8096708e-04 -7.6669313e-07
 174 5.1165323e+03 8.9740113e-01 1.0464105e-02 -3.9935494e+01 6.6030463e-08 1.7946393e-04 -7.5215116e-07
 175 5.1420556e+03 8.8638606e-01 1.0598088e-02 -3.9330436e+01 6.5676311e-08 1.7797832e-04 -7.3773671e-07
 176 5.1671546e+03 8.7537696e-01 1.0733084e-02 -3.8697677e+01 6.5325114e-08 1.7651007e-04 -7.2345639e-07
 177 5.1918221e+03 8.6441116e-01 1.0869087e-02 -3.8037222e+01 6.4976830e-08 1.7505891e-04 -7.0930486e-07
 178 5.2160435e+03 8.5351114e-01 1.1006093e-02 -3.7349153e+01 6.4631464e-08 1.7362446e-04 -6.9527338e-07
 179 5.2398192e+03 8.4269941e-01 1.1144094e-02 -3.6633478e+01 6.4288956e-08 1.7220636e-04 -6.8135339e-07
 180 5.2631422e+03 8.3201328e-01 1.1283086e-02 -3.5890352e+01 6.3949324e-08 1.7080424e-04 -6.6753623e-07
 181 5.2859979e+03 8.2148267e-01 1.1423060e-02 -3.5119932e+01 6.3612482e-08 1.6941772e-04 -6.5381318e-07
 182 5.3083867e+03 8.1113747e-01 1.1564011e-02 -3.4322300e+01 6.3278431e-08 1.6804640e-04 -6.4017550e-07
